Entity Name,Entity ID,Entity Type,County Name,City,State,Zip,Estimated Population,Class Data,Fiscal Year End,Paper Report Due Date,Electronic Report Due Date
Fort Bragg,1270,CIT,Mendocino,Fort Bragg,CA,95437,7064,General Law,630,131,131
Fort Jones,1271,CIT,Siskiyou,Fort Jones,CA,96032-0040,694,General Law,630,131,131
Fortuna,1272,CIT,Humboldt,Fortuna,CA,95540,12523,Chartered,630,131,131
Foster City,1273,CIT,San Mateo,Foster City,CA,94404,33325,General Law,630,131,131
Fountain Valley,1274,CIT,Orange,Fountain Valley,CA,92708,57068,General Law,630,131,131
Fowler,1275,CIT,Fresno,Fowler,CA,93625-2401,6863,General Law,630,131,131
Fremont,1276,CIT,Alameda,Fremont,CA,94537-5006,228872,General Law,630,131,131
Fresno,1277,CIT,Fresno,Fresno,CA,93721,542720,Chartered,630,131,131
Fullerton,1278,CIT,Orange,Fullerton,CA,92632-1775,141974,General Law,630,131,131
Galt,1279,CIT,Sacramento,Galt,CA,95632,25383,General Law,630,131,131
Garden Grove,1280,CIT,Orange,Garden Grove,CA,92842,171284,General Law,630,131,131
Gardena,1281,CIT,Los Angeles,Gardena,CA,90247-3732,60382,General Law,630,131,131
Gilroy,1282,CIT,Santa Clara,Gilroy,CA,95020,59396,Chartered,630,131,131
Glendale,1283,CIT,Los Angeles,Glendale,CA,91206,194618,Chartered,630,131,131
Glendora,1284,CIT,Los Angeles,Glendora,CA,91741,52316,General Law,630,131,131
Goleta,8636,CIT,Santa Barbara,Goleta,CA,93117,33315,General Law,630,131,131
Gonzales,1285,CIT,Monterey,Gonzales,CA,93926,8492,General Law,630,131,131
Grand Terrace,1286,CIT,San Bernardino,Grand Terrace,CA,92313,13131,General Law,630,131,131
Grass Valley,1287,CIT,Nevada,Grass Valley,CA,95945-6588,13670,Chartered,630,131,131
Greenfield,1288,CIT,Monterey,Greenfield,CA,93927,18705,General Law,630,131,131
Gridley,1289,CIT,Butte,Gridley,CA,95948,7413,General Law,630,131,131
Grover Beach,1290,CIT,San Luis Obispo,Grover Beach,CA,93433,12879,General Law,630,131,131
Guadalupe,1291,CIT,Santa Barbara,Guadalupe,CA,93434,8622,General Law,630,131,131
Gustine,1292,CIT,Merced,Gustine City,CA,95322-0016,6098,General Law,630,131,131
Half Moon Bay,1293,CIT,San Mateo,Half Moon Bay,CA,94019,11462,General Law,630,131,131
Hanford,1294,CIT,Kings,Hanford,CA,93230,58544,General Law,630,131,131
Hawaiian Gardens,1295,CIT,Los Angeles,Hawaiian Gardens,CA,90716,13755,General Law,630,131,131
Hawthorne,1296,CIT,Los Angeles,Hawthorne,CA,90250,87722,General Law,630,131,131
Hayward,1297,CIT,Alameda,Hayward,CA,94541,161744,Chartered,630,131,131
Healdsburg,1298,CIT,Sonoma,Healdsburg,CA,95448,11174,General Law,630,131,131
Hemet,1299,CIT,Riverside,Hemet,CA,92543,89823,General Law,630,131,131
Hercules,1300,CIT,Contra Costa,Hercules,CA,94547,26357,General Law,630,131,131
Hermosa Beach,1301,CIT,Los Angeles,Hermosa Beach,CA,90254,19382,General Law,630,131,131
Hesperia,1302,CIT,San Bernardino,Hesperia,CA,92345,100225,General Law,630,131,131
Hidden Hills,1303,CIT,Los Angeles,Hidden Hills,CA,91302,1736,General Law,630,131,131
Highland,1304,CIT,San Bernardino,Highland,CA,92346,56915,General Law,630,131,131
